全局序号,唯一充电站ID,充电站名称,行政区,具体地址,经度,纬度,充电桩类型,联系电话,爬取关键词,爬取时间,站平均评分,站有效评论数,充电速度（0-5分）,价格性价比（0-5分）,设施完整性（0-5分）,环境卫生（0-5分）,位置便利性（0-5分）,服务态度（0-5分）,支付便捷性（0-5分）,安全保障（0-5分）
855,站_695,国家电网汽车充电站(安徽省合肥市肥东县长临河镇停车场充电站),肥东县,长临河古镇景区环湖北路地面停车场,117.462026,31.686375,汽车服务;充电站;充电站,96529,新能源汽车充电桩,2026/1/27 20:40,3.0625,16,3.043,2.5,2.5,2.5,3.578,2.5,2.5,2.5
856,站_696,中国石化汽车充电站(津源充电站),肥东县,肥东新城开发区(双龙大酒店隔壁),117.436196,31.875847,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:40,4,15,3.445,2.881,2.5,2.5,3.528,2.5,2.5,2.5
857,站_697,特来电汽车充电站(恒兴超充站),肥东县,东风大道辅路与新世界路交叉口南80米,117.41808,31.843039,汽车服务;充电站;充电站,19105651555,新能源汽车充电桩,2026/1/27 20:40,4.25,14,4.242,2.5,2.5,2.5,3.233,2.614,2.5,2.5
858,站_698,星星充电汽车充电站(星星充电马集通泰充电站),肥东县,重工机械产业园合肥通泰建材有限公司院内,117.62752,31.874163,汽车服务;充电站;充电站,18956077595,新能源汽车充电桩,2026/1/27 20:40,2.5625,8,2.613,1.936,2.5,2.5,2.5,2.5,2.5,2.5
859,站_699,中国石化汽车充电站(浙商城充电站),肥东县,合肥浙商城东门旁,117.431123,31.830554,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:40,2.6333333333333333,15,2.802,2.929,2.5,2.5,2.5,2.5,2.5,2.5
860,站_700,中国石化汽车充电站(龙城充电站),肥东县,中国石化龙城路加油站,117.44552,31.86017,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:40,2.533333333333333,15,2.878,2.5,2.5,2.5,2.5,2.5,2.5,2.5
861,站_701,中国石化汽车充电站(包公大道充电站),肥东县,中国石化包公大道加油站,117.423094,31.892131,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:40,2.9375,8,1.765,2.499,2.5,2.5,2.5,2.5,2.5,2.5
862,站_702,星星充电汽车充电站(好社惠充电站),肥东县,店埠镇古河路安徽美普达电气有限公司地面停车场,117.420795,31.886913,汽车服务;充电站;充电站,17718186351,新能源汽车充电桩,2026/1/27 20:40,3.727272727272727,11,4.22,2.828,2.707,2.5,2.5,2.704,2.5,2.5
863,站_5860,国家电网汽车充电站(安徽省合肥市肥东县安徽晶科能源有限公司停车场充电站),肥东县,龙兴大道与乳泉路交叉口东北500米,117.513913,31.759019,汽车服务;充电站;充电站,0551-63318110,新能源汽车充电桩,2026/1/27 20:40,3.6,29,3.099,3.724,3.071,2.907,2.212,3.965,3.231,3.845
864,站_703,特来电充电站(和平文化广场超充站),肥东县,店埠镇和平文化广场地面停车场,117.462377,31.890887,汽车服务;充电站;充电站,4001300001,新能源汽车充电桩,2026/1/27 20:40,3.75,12,2.026,2.5,2.5,2.5,3.186,2.5,2.5,2.5
865,站_704,昆仑网电汽车充电站(中国石油合肥肥东县龙源充电站),肥东县,采香环路和合马路交汇处西北角(中石油加油站内),117.442928,31.826044,汽车服务;充电站;充电站,95700,新能源汽车充电桩,2026/1/27 20:40,3.863636363636364,11,4.82,2.364,3.388,2.5,2.953,2.743,2.5,2.5
866,站_705,智慧城市超级充电站(斌锋未来城超充站·华为超充技术支持),肥东县,店埠镇斌锋未来城S1幢商业,117.473343,31.85301,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:40,3.875,12,4.568,2.358,2.5,2.689,2.5,2.5,2.5,2.5
867,站_706,特来电汽车充电站(特来电典泰桥头集路超充站),肥东县,桥头集路与公园路交叉口东北角地面停车场,117.453574,31.877065,汽车服务;充电站;充电站,13955133683;4001300001,新能源汽车充电桩,2026/1/27 20:40,3.7916666666666665,12,2.108,2.5,2.774,2.5,2.5,3.2,2.5,2.5
868,站_707,特来电汽车充电站(特来电井中集团充电站),肥东县,店埠镇井中集团合肥光明包装制品有限公司,117.41117,31.88056,汽车服务;充电站;充电站,18156709178,新能源汽车充电桩,2026/1/27 20:40,3.875,12,4.129,3.535,2.5,2.5,1.973,2.5,2.5,2.5
869,站_3938,中国石化汽车充电站(众兴北充电站),肥东县,众兴乡G40沪陕高速众兴服务区(沪陕高速西安方向),117.41873,31.97525,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:40,4.1,7,2.733,3.554,3.413,2.83,3.285,2.896,3.012,3.043
870,站_4274,国家电网汽车充电站(京台高速肥东服务区充电站北京方向2),肥东县,京台高速肥东服务区(北京方向),117.45639,31.853884,汽车服务;充电站;充电站,96529,新能源汽车充电桩,2026/1/27 20:40,3.9,12,3.422,3.665,3.941,3.965,2.127,2.892,3.291,3.574
871,站_7178,中国石化汽车充电站(南环路充电站),肥东县,中国石化南环路加油站(店埠河地铁站B口步行180米),117.47389,31.874882,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:40,4.5,6,3.714,3.972,3.887,3.274,3.356,3.426,4.102,3.564
872,站_8507,星星充电汽车充电站(国土超充站),肥东县,团结大道与龙泉路辅路交叉口东北方向立体停车场,117.484453,31.879092,汽车服务;充电站;充电站,18756907758,新能源汽车充电桩,2026/1/27 20:40,4.3,10,3.907,3.584,3.04,3.113,3.561,3.381,3.983,3.75
873,站_5659,星星充电汽车充电站(星星充电-徽商建材城充电站),肥东县,店埠镇幸福家具城徽商大市场,117.429662,31.872294,汽车服务;充电站;充电站,13615698868,新能源汽车充电桩,2026/1/27 20:40,3.3,18,2.544,3.788,2.91,3.986,3.386,3.677,2.795,3.917
874,站_6072,广汽能源汽车充电站(广汽能源合肥山水路超充站),肥东县,山水路与亲水路交口和睦广场地面停车场,117.49441,31.856686,汽车服务;充电站;充电站,4006665330,新能源汽车充电桩,2026/1/27 20:40,3.8,19,3.291,4.079,2.973,3.847,2.223,3.157,3.752,2.962
875,站_6272,皖小能汽车充电站(皖小能电动汽车快充燎原大道),肥东县,撮镇镇,117.434664,31.824552,汽车服务;充电站;充电站,13145510525,新能源汽车充电桩,2026/1/27 20:40,4.3,15,3.244,4.168,3.201,3.053,2.602,2.954,3.263,3.739
876,站_8712,星星充电汽车充电站(卓越科技直流站),肥东县,撮镇镇唐安路安徽国登管业科技有限公司向西50米,117.404146,31.825478,汽车服务;充电站;充电站,17356518876,新能源汽车充电桩,2026/1/27 20:40,3.8,8,3.19,3.987,2.904,3.845,2.264,3.101,3.96,2.849
877,站_6949,中国石化汽车充电站(石梁城西路充电站),肥东县,店埠镇石梁城西路华盛·南院,117.465854,31.865915,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:40,4.2,24,2.873,3.524,2.522,3.947,3.125,3.164,4.153,3.083
878,站_1765,星星充电汽车充电站(数源浮槎山路充电站),肥东县,店埠镇浮槎山路,117.47639,31.880375,汽车服务;充电站;充电站,13395657258,新能源汽车充电桩,2026/1/27 20:40,4.5,12,3.625,3.634,3.238,3.398,3.214,3.581,2.851,3.294
879,站_5174,中国石化汽车充电站(众兴南充电站),肥东县,众兴乡众兴服务区,117.417242,31.974831,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:40,3.7,16,3.39,3.719,2.551,3.504,3.777,3.842,2.887,3.592
880,站_7086,国家电网汽车充电站(京台高速肥东服务区充电站台北方向),肥东县,京台高速肥东服务区台北方向,117.455818,31.857968,汽车服务;充电站;充电站,0551-63881234;96529,新能源汽车充电桩,2026/1/27 20:40,3.7,27,3.327,3.299,3.239,2.974,3.414,3.655,2.681,3.881
881,站_3732,皖小能汽车充电站(肥东县宝湾物流园综合),肥东县,撮镇镇东华路与新华路交口西南角、宝湾物流肥东有限公司厂区内,117.433044,31.813229,汽车服务;充电站;充电站,4009961666,新能源汽车充电桩,2026/1/27 20:40,3.3,13,3.344,4.159,2.945,3.03,2.332,3.098,4.077,3.505
882,站_8917,理想汽车充电站(理想5C超充站京台高速肥东服务区北京方向),肥东县,肥东服务区,117.455692,31.854585,汽车服务;充电站;充电站,4006860400,新能源汽车充电桩,2026/1/27 20:40,3.8,21,3.324,3.953,3.289,2.99,3.463,2.814,2.861,3.801
883,站_5923,中国石化汽车充电站(中国石化繁华东路加油站),肥东县,中国石化繁华东路加油站,117.477681,31.781119,汽车服务;充电站;充电站,95105888,新能源汽车充电桩,2026/1/27 20:40,3.3,5,2.651,4.042,3.394,3.964,2.37,3.175,4.135,3.053
884,站_7041,容新智充汽车充电站(电途驿站),肥东县,经开区祥和路与岱河路交口往东200米,117.43218,31.901276,汽车服务;充电站;充电站,4000006828,新能源汽车充电桩,2026/1/27 20:40,4.6,29,3.181,4.161,2.841,3.889,2.491,3.602,2.919,3.888
885,站_7934,星星充电汽车充电站(星星充电肥东政务服务中心),肥东县,店埠镇深秀北路和日出路交口朝北200米地面停车场,117.485046,31.850736,汽车服务;充电站;充电站,13721098069,新能源汽车充电桩,2026/1/27 20:40,3.9,29,2.959,4.496,4.058,2.904,2.794,3.181,3.75,3.735
886,站_7491,小鹏超级充电站(小鹏S4超快充合肥肥东伟星星悦广场站),肥东县,伟星星悦广场(入口山水路),117.489716,31.857038,汽车服务;充电站;充电站,4007836688,新能源汽车充电桩,2026/1/27 20:40,4.1,7,3.199,4.411,3.305,3.495,3.278,3.548,2.947,3.507
887,站_8996,广汽能源汽车充电站(广汽能源合肥裕溪路超充站),肥东县,撮镇镇四季养生(华盛广场店)华盛广场地面停车场,117.4169,31.831104,汽车服务;充电站;充电站,4006665330,新能源汽车充电桩,2026/1/27 20:40,3.2,7,2.518,4.389,3.243,3.593,3.684,3.194,3.543,2.995
888,站_1284,春宇智充汽车充电站(亿佰购物广场充电站),肥东县,店埠镇报镇路与站南路交口东南角(亿佰购物广场),117.475139,31.853103,汽车服务;充电站;充电站,4009988722,新能源汽车充电桩,2026/1/27 20:40,4,13,3.599,3.725,3.413,3.319,2.745,3.573,3.243,3.67
889,站_6201,星星快充充电站(肥东县八斗镇),肥东县,子建路56号大顺配件南边(下面),117.608,32.152668,汽车服务;充电站;充电站,18118731146,新能源汽车充电桩,2026/1/27 20:40,4.1,18,2.845,4.391,3.369,3.061,2.953,3.444,2.796,2.978
890,站_7922,沪蓉高速文集服务区充电站(陕西方向),肥东县,沪蓉高速文集服务区(陕西方向),117.719346,31.959594,汽车服务;充电站;充电站,0551-63881234;96529,新能源汽车充电桩,2026/1/27 20:40,4.2,25,2.783,3.858,3.604,2.889,2.041,2.906,4.114,3.932
891,站_3780,皖小能汽车充电站(龙塘综合能源港充换电),肥东县,皖小能汽车充电站(龙塘综合能源港充换电)皖能集团综合能源港CNGH2充换电(龙塘站)燎原大道与裕溪路交叉口南80米,117.435703,31.826872,汽车服务;充电站;充电站,4009961666,新能源汽车充电桩,2026/1/27 20:40,3.8,28,3.596,3.733,2.748,3.502,3.301,3.76,3.395,3.888
892,站_6615,理想超级充电站(理想5C超充站京台高速肥东服务区台北方向),肥东县,店埠镇肥东服务区肥东服务区,117.45497,31.856707,汽车服务;充电站;充电站,4006860400,新能源汽车充电桩,2026/1/27 20:40,3.8,25,2.568,2.833,3.254,3.639,3.595,3.915,3.176,3.112
893,站_5365,星星充电汽车充电站(星星充电-琪瑞康郡充电站),肥东县,店埠镇祥和路尚泽·琪瑞康郡,117.43019,31.876469,汽车服务;充电站;充电站,15155954210,新能源汽车充电桩,2026/1/27 20:40,4.5,27,3.591,3.533,3.741,3.045,2.027,3.311,4.165,3.505
894,站_3951,理想超级充电站(理想5C超充站沪陕高速文集服务区西安方向),肥东县,文集服务区,117.71925,31.959621,汽车服务;充电站;充电站,4006860400,新能源汽车充电桩,2026/1/27 20:40,4.4,11,2.61,4.427,3.764,3.78,2.463,3.378,3.436,3.433
895,站_4578,星星充电汽车充电站(星星充电-城关中学充电站),肥东县,店埠镇古城路肥东县城关中学,117.4573,31.878828,汽车服务;充电站;充电站,15155954210,新能源汽车充电桩,2026/1/27 20:40,4.5,17,3.281,3.448,2.517,3.588,2.572,3.372,3.371,3.383
896,站_8997,驴充充汽车充电站(肥东县八斗镇大张社区),肥东县,八斗镇军谢村,117.592048,32.136837,汽车服务;充电站;充电站,0797-966999,新能源汽车充电桩,2026/1/27 20:40,4.5,18,2.867,3.746,3.359,2.936,3.722,3.42,3.657,3.536
897,站_4192,特来电汽车充电站(特来电和平文化广场二期超充站),肥东县,店埠镇和平文化广场,117.46277,31.888714,汽车服务;充电站;充电站,4001300001,新能源汽车充电桩,2026/1/27 20:40,4.6,6,3.327,3.982,3.304,3.703,3.032,3.852,3.529,3.768
898,站_1992,壳牌充电汽车充电站(壳牌合肥东风大道地面快充站),肥东县,肥东新城开发区龙塘东风大道顺丰物流园内,117.418106,31.842136,汽车服务;充电站;充电站,4007160699,新能源汽车充电桩,2026/1/27 20:40,3.9,24,2.685,4.187,3.581,3.832,3.555,3.54,3.522,2.851
899,站_4337,特斯拉超级充电站(合肥肥东龙湖龙誉中心),肥东县,龙岗综合经济开发区大众路与新安江路交口合肥肥东龙湖龙誉中心地下停车场负一层B区/入口新安江路辅路,117.39832,31.859854,汽车服务;充电站;专用充电站,4009100707,新能源汽车充电桩,2026/1/27 20:40,3.7,24,3.369,2.972,4.423,3.91,3.779,3.513,4.071,3.769
900,站_6802,星星充电汽车充电站(车莱电久恒公司桥头集快充站电站),肥东县,桥头集镇104省道中国石化桥头集加油站,117.56144,31.760798,汽车服务;充电站;充电站,13757749203,新能源汽车充电桩,2026/1/27 20:40,3.3,15,3.428,4.5,3.228,3.776,3.205,3.109,3.311,3.675
901,站_5866,中国石化汽车充电站(马湖充电站),肥东县,马湖乡乾合社区大鲁组兴桥公交站旁,117.822808,32.061155,汽车服务;充电站;充电站,18709863351,新能源汽车充电桩,2026/1/27 20:40,3.5,22,3.691,3.649,2.823,3.2,2.629,3.538,3.901,2.818
902,站_9877,小鹏超级充电站(小鹏S4超快充合肥肥东好社惠站),肥东县,古河路与柳孜路交叉口东100米合肥好社惠商贸有限公司,117.4213,31.88688,汽车服务;充电站;充电站,4007836688,新能源汽车充电桩,2026/1/27 20:40,3.8,15,3.126,3.883,3.978,3.12,3.754,3.744,3.445,3.32
903,站_9323,国家电网汽车充电站(沪陕高速文集服务区充电站上海方向),肥东县,326省道与岘山路交叉口东北360米地面停车场,117.718288,31.957684,汽车服务;充电站;充电站,96529,新能源汽车充电桩,2026/1/27 20:40,4.3,15,3.36,4.381,3.511,3.498,2.082,3.847,2.758,3.546
904,站_8742,蔚来能源超级充电站(台北方向G3京台高速肥东服务区),肥东县,龙城路与四号路交叉口东南320米,117.455317,31.857829,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:40,4.4,25,3.176,3.547,3.854,2.808,2.036,3.547,3.819,3.05
905,站_1008,新电途汽车充电站(零碳充电站|肥东护城站),肥东县,梁园镇护城社区村委会,117.58162,32.059739,汽车服务;充电站;充电站,4001100835,新能源汽车充电桩,2026/1/27 20:40,3.3,24,3.817,4.367,3.75,3.101,3.551,3.223,3.295,3.871
906,站_3806,理想超级充电站(理想超充站合肥肥东县古河路好社惠停车场),肥东县,店埠镇古河路文一名都,117.42125,31.88685,汽车服务;充电站;充电站,4006860400,新能源汽车充电桩,2026/1/27 20:40,3.2,19,2.946,4.127,3.407,2.845,2.962,2.907,3.546,2.814
907,站_1883,云快充汽车充电站(肥东牛特集中式快速充电站中心),肥东县,梁园镇上卞湾,117.614,31.9793,汽车服务;充电站;充电站,15190481380,新能源汽车充电桩,2026/1/27 20:40,3.6,22,3.149,4.029,3.659,3.673,2.065,3.565,3.849,4.062
908,站_5282,世动云充汽车充电站(合肥市肥东县国林大酒店充电站),肥东县,店埠镇国林大酒店,117.50539,31.93161,汽车服务;充电站;充电站,4001030535,新能源汽车充电桩,2026/1/27 20:40,3.5,20,2.901,3.527,3.797,3.142,2.05,3.013,3.53,3.501
909,站_7927,蔚来能源汽车充电站(合肥肥东农商银行),肥东县,肥东新城开发区肥东农商银行(新总行)地面停车场,117.431587,31.873635,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:40,4.4,5,3.07,3.716,3.704,3.342,2.733,3.448,3.39,3.392
910,站_5998,蔚景云汽车充电站(徽充充电站元疃站),肥东县,元疃镇合汪路车都汽车服务中心(元疃店),117.398713,32.082076,汽车服务;充电站;充电站,4006803880,新能源汽车充电桩,2026/1/27 20:40,3.8,10,2.816,4.368,2.859,3.579,2.417,2.943,3.739,3.235
911,站_3666,蔚来能源超级充电站(北京方向G3京台高速肥东服务区),肥东县,肥东服务区(京台高速北京方向),117.45437,31.853477,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:40,3.2,10,3.696,4.193,3.926,3.153,3.567,3.959,4.11,3.241
912,站_5229,特来电汽车充电站(特来电特来电合肥丰华汽车快充站),肥东县,撮镇镇龙塘工业园合马路北侧地面停车场,117.432201,31.828646,汽车服务;充电站;充电站,4001300001,新能源汽车充电桩,2026/1/27 20:41,3.6,5,3.562,3.826,3.372,3.336,3.349,3.707,3.638,2.996
913,站_5975,星星充电汽车充电站(牌坊充电站),肥东县,新美瑞集团(S227),117.482574,31.962395,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:41,3.7,19,3.678,4.313,3.473,4,3.684,3.013,3.618,2.886
914,站_7441,福贵充电站(星星充电),肥东县,安徽爱就爱家具制造有限公司北门西60米,117.414299,31.886092,汽车服务;充电站;充电站,15255476777,新能源汽车充电桩,2026/1/27 20:41,4.5,11,3.125,3.831,3.105,2.832,2.668,3.715,2.874,3.076
915,站_6063,国家电网汽车充电站(安徽省合肥市肥东县撮镇有序交流充电站),肥东县,店忠路与星光大道交叉口供电所外,117.483308,31.810507,汽车服务;充电站;充电站,96529,新能源汽车充电桩,2026/1/27 20:41,3.8,23,3.914,3.82,3.709,3.146,2.867,3.976,3.533,2.997
916,站_4111,易佳电汽车充电站(易佳电国土超充站),肥东县,团结大道与龙泉路辅路交叉口东北方向立体停车场,117.4847,31.8785,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:41,3.3,6,2.893,4,3.143,3.867,2.698,3.677,4.026,3.606
917,站_9342,蔚景云汽车充电站(安顺港充电站),肥东县,安顺港农副产品智慧物流园,117.446365,31.814716,汽车服务;充电站;充电站,4006803880,新能源汽车充电桩,2026/1/27 20:41,3.8,11,3.305,3.685,3.107,3.502,2.104,3.746,3.22,3.73
918,站_4332,蔚景云汽车充电站(中科全速乐速充体验站),肥东县,桥头集镇中科全速科技园,117.49988,31.788204,汽车服务;充电站;充电站,4006803880,新能源汽车充电桩,2026/1/27 20:41,3.5,21,3.467,4.249,3.544,3.041,3.284,3.108,2.514,3.894
919,站_9456,易佳电汽车充电站(易佳电首达储能充电站),肥东县,龙湖春江天越北面地面停车场,117.4523,31.8275,汽车服务;充电站;充电站,15855183519,新能源汽车充电桩,2026/1/27 20:41,3.5,11,3.575,3.773,2.889,3.579,2.532,3.507,2.594,2.858
920,站_6972,易佳电汽车充电站(易佳电蓝鲤富银充电站),肥东县,店埠镇安徽源隆包装材料有限公司,117.5043,31.8903,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:41,3.4,7,3.495,3.652,3.694,3.108,2.612,3.876,3.947,3.032
921,站_5099,易佳电汽车充电站(易佳电蓝鲤费加罗充电站),肥东县,包公大道与镇西路交叉路口往东北约100米,117.4358,31.8923,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:41,4.5,15,3.835,4.159,2.769,3.309,3.247,3.016,2.951,3.571
922,站_6912,云快充汽车充电站(费加罗婚礼艺术中心快充站),肥东县,包公大道与镇西路交口东北角,117.435759,31.892439,汽车服务;充电站;充电站,13013100110;4008288517,新能源汽车充电桩,2026/1/27 20:41,3.6,17,2.738,4.406,4.5,3.182,3.467,3.04,3.32,4.28
923,站_8953,众兴服务区合肥充电汽车充电站,肥东县,北环高速众兴服务区北区停车场,117.417291,31.974823,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:41,3.4,14,2.822,4.422,3.608,3.817,3.187,3.3,2.636,3.036
924,站_4527,易佳电汽车充电站(易佳电古河路好社惠充电站),肥东县,店埠镇古河路好社惠,117.4209,31.8869,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:41,4.3,6,3.616,3.889,3.556,2.871,3.208,2.803,3.216,3.167
925,站_3829,易佳电汽车充电站(易佳电首达储能龙誉城充电站),肥东县,地面停车场,117.3981,31.8584,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:41,4.1,19,3.892,3.993,3.793,3.659,2.474,3.631,2.865,2.81
926,站_9072,特来电汽车充电站(智远七星物流重卡站),肥东县,桥头集镇裕溪路,117.53689,31.772614,汽车服务;充电站;充电站,4001300001,新能源汽车充电桩,2026/1/27 20:41,4.1,19,2.962,3.745,2.994,3.331,3.757,3.665,4.061,3.973
927,站_5252,小桔充电汽车充电站(肥东富银重卡超充站),肥东县,店埠镇包公大道高架辅路,117.50431,31.89031,汽车服务;充电站;充电站,4000610999,新能源汽车充电桩,2026/1/27 20:41,3.4,7,2.759,4.489,3.463,3.393,2.97,3.153,4.001,3.211
928,站_1674,特来电汽车充电站(肥东县石塘人民政府停车场充电站),肥东县,石塘镇人民政府(本电站暂时不提供发票服务),117.633514,31.93132,汽车服务;充电站;充电站,13866128969,新能源汽车充电桩,2026/1/27 20:41,4,23,3.199,4.4,2.972,3.694,3.2,3.195,2.903,2.899
929,站_6482,众兴服务区国家电网电动汽车充电站,肥东县,G40沪陕高速附近,117.419877,31.976074,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:41,3.8,15,2.607,4.272,3.242,3.78,2.438,3.798,2.861,3.991
930,站_2165,易佳电汽车充电站(易佳电浙商城充电站),肥东县,裕溪路北门,117.4307,31.8329,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:41,4.2,9,2.98,4.178,2.835,3.891,2.121,3.964,2.627,3.783
931,站_2549,特来电汽车充电站(福泽石塘镇富光公园站),肥东县,石塘镇晨光路富光公园停车场,117.63087,31.932571,汽车服务;充电站;充电站,13866128969,新能源汽车充电桩,2026/1/27 20:41,4.4,13,2.502,3.88,3.364,3.247,2.14,3.576,3.925,3.448
932,站_7029,蔚来换电站(肥东服务区台北方向),肥东县,肥东服务区内,117.455244,31.857786,汽车服务;换电站;换电站,,新能源汽车充电桩,2026/1/27 20:41,4.4,19,3.398,3.314,3.17,3.931,3.593,3.158,2.76,3.592
933,站_1632,易佳电汽车充电站(易佳电蓝鲤数源充电站),肥东县,店埠镇浮槎山路,117.476576,31.880056,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:41,4,7,3.455,4.042,2.896,3.861,3.188,2.849,2.562,3.695
934,站_7719,易佳电汽车充电站(易佳电蓝鲤琪瑞贵宾楼充电站),肥东县,龙泉路与桂王路交叉口琪瑞贵宾楼停车场,117.4431,31.8768,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:41,4.1,18,3.554,4.379,3.27,3.52,2.821,3.847,3.352,3.359
935,站_4595,安徽交控肥东服务区电动汽车充电站(上海方向),肥东县,合宁高速38公里处,117.455332,31.854887,汽车服务;充电站;充电站,0551-63738418,新能源汽车充电桩,2026/1/27 20:41,3.9,13,2.843,3.878,3.321,3.393,2.525,3.511,3.367,2.851
936,站_1410,特来电汽车充电站(永快充超充站),肥东县,店埠镇古河路,117.41768,31.886156,汽车服务;充电站;充电站,4001300001,新能源汽车充电桩,2026/1/27 20:41,4,16,2.543,4.304,3.587,3.414,2.313,3.418,3.712,3.441
937,站_4993,皋源泛能肥东安燃充电站,肥东县,安燃燃气龙塘综合站,117.442613,31.826512,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:41,4,5,2.581,4.346,2.556,3.848,2.037,3.78,3.451,3.522
938,站_3133,易佳电汽车充电站(易佳电沁园春大酒店充电站),肥东县,白龙镇S324辅路沁园春大酒店门口,117.451,32.1051,汽车服务;充电站;充电站,0551-62100112,新能源汽车充电桩,2026/1/27 20:41,4.4,17,2.813,4.299,2.965,3.94,2.837,3.837,3.009,3.557
939,站_5383,蔚来换电站(肥东服务区北京方向),肥东县,肥东服务区南侧,117.454342,31.853514,汽车服务;换电站;换电站,,新能源汽车充电桩,2026/1/27 20:41,4.5,20,2.952,3.298,2.792,3.21,2.195,3.847,3.716,3.17
940,站_4172,蔚来换电站文集服务区(西安方向),肥东县,G40沪陕高速与文集服务区交叉口西320米,117.719638,31.960399,生活服务;生活服务场所;生活服务场所,,新能源汽车充电桩,2026/1/27 20:41,4.4,25,3.844,4.184,2.52,3.606,2.114,3.069,3.752,3.137
941,站_6760,特来电目的地充电站(炯长路山口凌停车场充电站),肥东县,长临河镇山口凌自然村山口凌地面停车场,117.53615,31.670021,汽车服务;充电站;充电站,4001300001,新能源汽车充电桩,2026/1/27 20:41,3.5,19,3.617,3.969,2.808,3.093,3.129,3.184,3.359,3.939
942,站_2945,汽车充电站(八斗服务区),肥东县,八斗服务区南侧,117.629612,32.134575,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:41,3.5,12,2.953,3.619,2.735,3.851,2.299,3.813,4.027,3.626
943,站_3426,星星充电汽车充电站(星星充电-蓝速电龙誉城充电站),肥东县,地面停车场,117.398268,31.858241,汽车服务;充电站;充电站,13866666587,新能源汽车充电桩,2026/1/27 20:41,4,7,2.688,4.254,3.026,2.917,2.889,2.906,2.577,3.416
944,站_5714,合肥充电龙泉西路汽车充电站,肥东县,景明巷与龙泉路交叉口西北160米,117.450085,31.879175,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:41,3.7,14,3.877,3.754,2.928,3.37,2.867,2.845,2.933,3.259
945,站_3480,云快充汽车充电站(合肥庐充元疃镇福临充电站),肥东县,元疃镇福临建筑停车场,117.37487,32.053233,汽车服务;充电站;充电站,4008288517,新能源汽车充电桩,2026/1/27 20:41,3.6,28,3.641,3.614,3.531,2.889,3.184,3.36,3.682,2.91
946,站_2381,极氪能源超级充电站(合肥肥东禹悦汇极充站),肥东县,长江东路与合店路交叉口禹悦汇地下停车场负一层A区100-104号车位,117.43759,31.875034,汽车服务;充电站;充电站,4000036036,新能源汽车充电桩,2026/1/27 20:41,4.1,13,3.815,4.38,3.855,3.258,3.45,3.636,3.709,3.892
947,站_6795,新电途汽车充电站(零碳充电站|肥东杨店站),肥东县,杨店乡大李社区岭秀苑村口停车场,117.588537,32.102261,汽车服务;充电站;充电站,4001100835,新能源汽车充电桩,2026/1/27 20:41,3.8,19,3.098,4.363,3.554,2.958,3.764,3.72,2.619,3.649
948,站_4675,智慧城市梁园镇超充站(华为液冷超充),肥东县,梁古大街63号,117.558406,32.007028,汽车服务;充电站;充电站,,新能源汽车充电桩,2026/1/27 20:41,3.4,27,3.009,3.507,2.81,3.824,3.002,3.644,2.82,3.206
949,站_7590,充电桩,肥东县,店埠镇白马山路以东与相西河路交口东北侧孔雀城四季澜湾,117.457295,31.905796,生活服务;生活服务场所;生活服务场所,18119999879,新能源汽车充电桩,2026/1/27 20:41,3.9,8,3.582,3.568,3.639,3.485,2.868,2.865,3.685,3.288
950,站_9624,特来电汽车充电站(科逸裕隆大市场超充站),肥东县,撮镇镇东华大道裕隆物流园地面停车场,117.440844,31.825527,汽车服务;充电站;充电站,15855170918,新能源汽车充电桩,2026/1/27 20:41,3.3,15,3.436,4.281,3.399,3,2.938,2.841,3.387,3.57
